iter	Passed	Remaining
0	6	619
1	7	351
2	8	260
3	8	211
4	9	184
5	10	165
6	11	152
7	12	142
8	13	134
9	14	127
10	15	121
11	15	117
12	19	131
13	20	127
14	21	123
15	22	119
16	24	117
17	25	114
18	26	111
19	27	108
20	28	106
21	29	103
22	30	101
23	31	100
24	32	97
25	33	95
26	34	92
27	35	90
28	36	88
29	36	86
30	37	84
31	38	82
32	39	80
33	40	78
34	41	76
35	42	74
36	42	73
37	46	76
38	47	74
39	48	73
40	49	71
41	50	69
42	51	67
43	52	66
44	52	64
45	53	63
46	55	62
47	56	61
48	57	59
49	58	58
50	59	57
51	60	56
52	61	54
53	62	53
54	63	51
55	65	51
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	70	43
62	71	41
63	71	40
64	72	39
65	76	39
66	77	38
67	79	37
68	79	35
69	81	34
70	81	33
71	83	32
72	84	31
73	85	29
74	86	28
75	87	27
76	88	26
77	89	25
78	90	23
79	91	22
80	92	21
81	92	20
82	93	19
83	94	18
84	95	16
85	96	15
86	97	14
87	97	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
